X,Y
0.804689606,0.538103311
0.746452243,0.558250742
0.791058719,0.450309853
0.815325997,0.547844878
0.853964419,0.407638434
0.77221051,0.569480165
0.681415946,0.428304402
0.76823891,0.4708112
0.810392285,0.594208053
0.751734562,0.536881249
0.843934746,0.575140489
0.905736071,0.636837055
0.737820884,0.607154979
0.805586306,0.599357315
0.767699763,0.531347486
0.743553657,0.511049957
0.828214289,0.607115437
0.79295528,0.618944641
0.798933471,0.578491399
0.791906521,0.545738467
0.791570725,0.656086729
0.748730063,0.683740118
0.817770228,0.593239008
0.780809532,0.588525802
0.733287283,0.65869021
0.809231946,0.618945496
0.821529495,0.77501727
0.728111422,0.558288886
0.855074496,0.645069518
0.771859924,0.698439223
0.715723325,0.699268673
0.86349455,0.656293133
0.702699914,0.674717335
0.724498527,0.602915107
0.739826318,0.607941613
0.817164161,0.757895695
0.756830851,0.680124502
0.630284339,0.664937634
0.691169052,0.778389325
0.634756805,0.7226898
0.709715056,0.729228862
0.747209967,0.749801243
0.706203389,0.732263025
0.634997727,0.705726626
0.646864574,0.746167124
0.771144457,0.738705906
0.673778331,0.714937921
0.672451465,0.730572174
0.589040372,0.749980192
0.66972761,0.657148801
0.6636398,0.740111993
0.746965136,0.743012194
0.634283189,0.803844575
0.644973286,0.821911531
0.604491535,0.755903349
0.639073553,0.770658055
0.624703538,0.807760747
0.607960256,0.742563638
0.572338469,0.796437419
0.625662672,0.752401325
0.565782626,0.804724639
0.539658526,0.732003287
0.549878273,0.825958426
0.574590722,0.835228082
0.564111942,0.894070867
0.595275553,0.725055065
0.474703507,0.734832864
0.5486681,0.765961066
0.49534969,0.85680146
0.552587361,0.801679253
0.476251779,0.82942339
0.60718227,0.832737569
0.48592682,0.731634643
0.509671806,0.80639879
0.57735461,0.773103128
0.406351776,0.797621963
0.461963875,0.682929305
0.590991706,0.766573603
0.500677164,0.790923415
0.421528829,0.819694234
0.493291276,0.867782091
0.516850695,0.784219297
0.44701057,0.773255494
0.471959381,0.761864436
0.397548343,0.844158548
0.422129142,0.794435329
0.453714791,0.712322502
0.379560061,0.81829816
0.433142203,0.76139575
0.337811944,0.842320476
